0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,0,1,0,0,4,0,1,0,0,18,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,1,0,39,1,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0
0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,40,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0
0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,8,0,0,0,0,32,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,2,0,1,0,0,1,2,66,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,3,15,0,0,2,1,1,0,3,4,1,2,0,30,0,1,0,3,0,0,1,0,1,0,0,0,12,0,1,0,1,0,1,2,0,0,0,1,2,10,1,13,0,1,2,0,3,1,2,1,0,0,39,0,0,5,2,3,1,3,0,1,0,2,1,2,1,2,0,0,1,1,0,2,1,0,0,0,0,0,0,1,1,0,2,0,32,12,0,0,6,0,2,0,0,1
1,0,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,0,0,0
1,0,0,0,7,0,0,5,1,20,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,10,3,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,1,2,4,0,0,4,0,1,1,0,0,1,0,0,5,0,1,1,1,5,0,0,1,0,2,0,0
0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,12,42,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,14,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,11,0,0,0,3,38,0,0,0,4,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,2,2,0,0,1,134,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10
0,1,0,0,9,0,0,0,1,0,0,5,14,1,0,1,0,0,3,7,2,1,0,0,1,0,0,0,1,0,31,0,2,0,0,1,1,57,1,0,0,3,0,0,3,1,21,0,3,0,2,0,0,0,21,0,0,0,3,1,1,0,3,0,0,1,1,0,0,4,0,3,4,1,3,0,2,0,0,0,4,2,0,1,1,0,0,0,2,0,0,1,0,7,0,0,1,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,76,0,0,0,0,2,0,2,16,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
