4,0,3,14,0,3,21,4,7,3
2,4,1,6,8,0,0,4,12,1
15,1,0,4,2,3,3,6,5,5
0,4,5,9,6,5,4,2,1,1
2,19,1,0,1,4,1,0,3,1
3,1,1,2,1,1,0,1,5,1
0,8,11,1,5,4,8,7,1,5
4,0,1,0,4,8,1,1,1,6
2,1,1,7,1,3,6,6,2,3
3,2,1,1,0,7,2,3,0,3
0,5,2,1,12,7,2,0,2,1
2,5,7,2,16,8,5,2,1,5
4,1,5,4,0,4,0,2,1,2
1,0,1,8,0,3,3,2,2,3
16,4,0,9,5,3,9,7,1,4
7,3,5,4,1,0,11,4,6,4
0,2,6,2,4,1,1,4,9,1
1,1,7,8,1,4,15,1,9,4
3,0,0,6,4,7,4,1,5,5
11,1,0,5,2,0,6,0,1,11
5,4,13,0,3,3,3,5,1,4
4,4,5,2,1,3,0,1,2,2
0,0,0,2,1,3,1,1,3,4
2,2,1,2,0,12,8,9,1,0
5,4,0,13,8,4,1,1,1,9
18,0,1,4,4,2,2,8,9,5
4,5,6,4,3,3,0,3,6,6
2,3,2,4,1,3,7,3,6,2
5,1,1,16,2,7,2,3,1,12
2,2,5,1,1,0,0,4,1,10
9,2,6,5,4,6,8,5,4,3
3,1,6,14,3,2,3,5,13,2
11,4,0,2,9,3,25,2,2,1
0,1,1,8,8,1,3,1,0,2
8,1,0,6,0,16,1,16,3,5
1,1,3,3,2,2,3,1,4,4
2,1,2,9,7,2,7,2,4,9
6,4,4,5,2,7,7,7,1,6
7,3,4,2,3,1,3,4,5,6
2,10,6,4,10,6,0,3,14,1
6,0,4,2,8,14,6,5,0,0
6,2,6,18,2,2,0,0,5,1
0,7,7,1,1,5,3,0,6,4
3,0,2,2,7,1,2,3,1,1
4,0,10,2,1,1,4,4,8,1
5,2,3,4,9,10,1,1,2,3
0,3,28,4,0,1,6,1,11,5
2,4,4,1,10,9,1,6,3,4
2,16,10,5,3,1,2,9,2,1
2,0,1,1,2,1,4,2,1,3
2,2,8,0,4,12,2,13,2,2
5,1,0,8,1,1,4,2,7,1
1,2,2,1,1,2,1,2,4,3
1,1,3,1,1,2,2,6,4,0
6,6,3,10,5,9,1,3,7,0
2,3,2,0,0,1,0,1,5,2
1,0,5,3,3,2,4,1,0,1
3,2,0,7,0,5,1,11,1,9
3,3,6,0,2,0,0,1,9,1
2,7,8,4,0,5,2,4,4,3
0,3,4,1,0,4,3,22,7,5
1,1,1,6,1,0,2,0,0,2
5,0,5,6,1,8,3,13,2,0
4,3,6,7,1,0,6,13,9,5
3,2,9,2,1,6,3,2,1,4
3,2,4,4,5,4,0,5,5,4
1,0,3,1,2,2,9,2,3,4
0,2,0,1,5,6,15,8,2,2
3,1,2,9,3,2,9,3,2,7
1,6,1,1,8,15,13,4,7,3
4,0,3,2,2,2,3,3,21,2
4,3,1,2,4,1,5,5,10,6
11,1,4,2,11,2,1,2,2,5
0,0,1,2,1,0,3,2,7,4
6,2,3,5,3,4,2,6,1,1
7,3,3,2,3,1,3,4,4,3
1,1,3,11,0,5,2,13,1,3
2,1,6,0,3,3,4,1,4,5
5,10,1,6,4,1,5,0,2,3
1,18,6,2,3,8,0,2,0,8
4,2,3,2,16,2,4,4,1,1
8,8,4,2,6,4,1,11,16,1
3,6,2,0,6,0,3,2,2,3
14,0,4,0,12,5,1,1,8,0
3,3,2,10,8,1,4,1,4,2
3,1,3,1,3,4,4,6,2,5
6,1,0,0,1,0,4,0,12,3
8,0,10,1,1,1,8,2,1,5
6,1,2,0,1,1,2,2,2,3
4,2,6,3,1,2,4,16,13,2
0,30,1,5,0,0,6,1,3,2
3,2,10,1,3,5,0,2,1,0
3,1,3,0,1,4,3,3,1,0
6,4,2,8,6,5,6,5,0,6
10,6,10,2,2,4,0,3,5,4
2,8,10,3,0,0,1,3,0,0
8,6,3,7,1,3,0,1,5,4
0,7,1,6,3,3,5,7,6,3
1,3,2,3,4,0,1,1,1,1
5,3,6,0,5,1,9,18,1,2
