0,10,65,2,6,2,4,6,5,36
2,12,3,2,15,4,36,53,1,9
1,5,3,7,7,29,285,5,8,21
5,18,34,1,2,6,3,19,22,13
1,11,3,41,10,48,11,0,205,8
5,11,23,2,5,8,45,57,1,7
0,9,3,42,2,10,1,0,15,8
247,11,2,7,8,10,1,70,4,6
1,70,12,2,11,6,0,43,27,3
1,1185,6,16,1,10,125,2,3,5
1,46,0,4,5,14,20,1,15,1
8,21,2,16,59,24,59,1,61,13
1,27,15,1,17,18,31,68,7,171
3,1,17,60,2,80,10,177,44,96
11,10,16,2,4,0,56,93,0,4
0,41,26,34,5,5,25,8,17,5
2,18,5,14,22,2,1,1697,10,0
5,2,3,11,5,8,3,25,30,2
5,9,0,11,15,250,15,1,2,278
395,6,0,17,3,86,13,2,97,10
0,29,9,9,38,3,1,13,22,104
24,9,28,66,25,7,208,95,28,16
1,81,52,0,4,326,16,3,6,11
13,173,393,11,19,8,3,25,63,11
1,9,1,26,3,3,0,3,4,11
1,24,2,107,4,8,167,5,2,93
0,29,46,37,45,1,1,3,29,17
140,0,13,6,48,6,1,50,824,39
34,2,6,519,666,20,14,3,17,11
6,1,6,5,13,12,0,27,11,122
0,11,1,4,12,39,5,55,83,57
0,4,4,5,56,3,208,3,27,24
0,29,50,12,3,10,3,11,5,18
1,2,11,17,6,28,60,1,11,0
7,99,9,58,26,53,0,2,1,124
0,20,5,23,13,38,4,1,7,2
8,8,1,9,13,0,6,1,2,65
1,65,1,22,2,15,23,3,1,74
0,21,207,16,2,1,77,46,76,21
119,4,2,9,40,435,28,18,16,2
2,28,69,87,2,7,48,14,9,7
0,59,19,34,14,25,45,143,34,28
7,9,5,5,47,15,3,81,35,1
3,79,8,3,13,75,425,4,117,12
0,11,28,12,30,18,3,21,6,6
5,26,2,61,2,195,7,304,29,80
1,0,1,185,26,1,12,0,45,6
0,19,25,2,12,11,2,0,35,101
1,13,5,32,5,6,4,1,58,6
5,8,1,59,18,19,30,15,71,90
6,1,5,17,2,9,12,4,3,5
3,2,19,2,1,8,3,2,17,143
52,6,7,24,24,43,67,0,8,87
1,14,21,26,1,2,156,5,2,1
25,10,85,21,1,19,16,3,6,11
0,5,11,48,1,5,68,19,8,25
13,4,55,1,2,99,14,6,94,93
2,68,4,32,170,42,5,26,4,73
0,159,2,1,1,2,1,6,169,23
7,11,0,103,6,13,1,225,12,26
3,4,6,687,126,2,12,0,61,3
4,0,4,219,383,400,6,12,3,9
3,47,4,33,38,11,288,13,11,10
1,2,7,9,859,8,1,8,1,13
106,22,9,24,102,1,10,5,1,11
0,8,18,7,2,36,1,1,6,2
6,2,1,2,28,9,16,0,23,19
0,49,28,230,12,29,2,2,31,5
8,2,14,11,20,12,152,5,4,6
2,12,521,45,2,4,4,2,2,4
6,25,1333,5,2,28,4,15,3,2
0,69,23,41,38,1,30,2,3,37
1,11,60,7,9,2,3,2,34,3
0,2,3,111,0,8,5,4,20,17
1,26,3,4,51,27,3,3,8,22
0,13,3,15,2,42,358,10,25,4
68,3,5,14,86,19,4,23,342,2
17,12,5,22,1,28,29,32,1,99
27,2,3,7,2,106,4,66,23,0
0,18,1,133,0,0,4,26,2,4
0,31,7,1,2,37,97,32,3,19
6,43,36,30,70,90,48,19,3,412
1,1,4,0,5,1,3,3,18,3
1,51,21,29,4,33,6,5,52,145
1,23,32,5,39,15,2,3,23,12
5,54,6,1,7,351,4,2,81,34
31,95,8,15,82,7,48,4,4,7
2,1,1,0,1,32,8,3,4,0
2,1,141,21,0,4,5,7,30,3
2470,0,13,12,247,3,13,5,1,14
15,5,67,10,12,161,210,4,3,3
4,1,21,78,1,119,7,2,2,85
7,88,0,40,6,31,33,2,9,62
0,41,2,10,5,35,4,2,86,12
10,12,3,44,46,3,5,42,119,0
1,5,4,5,45,3,4,4,17,2
2,2,7,29,4,4,3,40,18,287
0,2,1,2,6,18,58,1,37,26
2,2,87,4,24,8,9,0,138,251
1,537,29,27,5,27,4,11,176,7
