6,2,1,1,11,1,1,1,13,3
1,19,5,9,2,0,1,2,3,38
3,1,1,1,9,0,18,1,4,2
8,5,2,2,16,10,32,2,1,1
0,1,18,0,19,30,46,1,1,4
22,4,1,4,31,1,5,0,5,6
4,9,3,1,5,8,8,1,0,0
14,0,0,4,11,2,18,65,3,2
3,50,7,21,13,0,0,1,12,12
1,4,2,22,1,5,2,3,0,1
4,8,4,4,1,0,19,26,11,3
1,0,62,1,2,4,3,0,7,38
0,0,0,0,16,0,0,0,23,0
0,8,1,6,0,1,0,2,23,1
2,0,9,1,1,1,0,1,101,5
54,7,2,35,1,0,4,6,3,7
1,1,5,1,1,8,9,14,0,0
0,3,4,0,6,1,0,0,0,24
10,1,1,25,14,2,12,24,14,16
0,0,0,20,10,1,1,8,0,0
1,0,2,0,0,110,0,1,0,5
19,2,1,1,5,4,0,1,2,5
0,0,11,0,0,0,0,0,0,29
4,1,0,6,0,3,15,3,8,1
3,1,1,16,0,0,0,16,1,41
9,1,0,1,0,0,8,52,10,0
0,0,0,0,0,0,3,0,35,0
3,5,3,2,4,7,13,3,0,0
0,11,0,0,1,11,17,3,30,46
1,0,0,1,62,1,0,14,0,0
8,0,1,5,8,32,14,1,6,5
20,0,25,1,53,13,2,1,6,0
4,1,1,0,2,0,111,0,0,2
2,17,15,2,0,0,0,2,0,1
44,9,1,1,3,22,3,4,19,14
1,0,1,3,3,0,15,0,15,3
15,0,2,4,17,5,2,18,40,16
21,0,6,2,0,0,0,3,4,3
4,0,0,9,2,11,6,36,4,7
0,0,0,1,1,0,37,0,0,0
3,8,3,1,1,47,13,3,0,0
1,0,0,28,1,0,0,0,1,49
0,78,1,0,0,0,0,0,0,0
9,17,8,31,7,20,17,3,6,2
6,6,57,0,1,0,0,8,1,2
0,4,2,1,1,2,0,13,3,52
35,1,3,3,16,13,12,15,22,1
1,6,0,3,30,0,38,0,2,0
0,0,14,0,0,0,1,1,24,0
0,0,0,1,0,3,30,3,0,2
0,16,10,1,3,50,17,20,1,2
16,6,2,0,0,19,0,1,76,0
2,10,2,6,10,2,1,7,25,15
12,3,2,3,1,10,1,0,1,7
4,0,0,0,0,4,2,103,1,6
1,0,36,0,0,0,0,2,0,0
0,1,5,3,3,21,35,1,9,42
0,3,1,0,0,4,0,1,29,1
11,0,0,28,0,0,0,0,0,0
38,2,1,0,4,0,0,26,8,2
8,5,2,13,1,1,68,20,1,1
2,4,11,7,1,1,3,1,0,91
5,19,2,22,1,8,5,6,36,17
7,33,2,5,0,1,10,1,13,6
6,22,23,2,1,10,9,0,23,23
0,6,0,1,0,0,22,0,8,3
37,19,4,4,5,2,1,4,1,2
0,8,5,1,2,20,1,0,5,38
47,9,0,1,0,6,5,1,3,8
44,47,2,4,11,4,2,4,0,3
5,0,23,3,16,3,21,5,4,1
4,11,1,2,1,2,14,1,1,2
15,0,35,7,0,1,1,5,1,15
14,2,4,4,4,0,1,47,2,1
0,0,8,1,2,1,0,4,23,1
1,64,2,0,31,1,7,13,1,0
8,0,1,2,0,0,1,1,19,7
1,11,2,52,2,3,10,26,1,12
18,3,10,1,13,51,2,18,1,3
2,7,9,11,2,4,1,5,0,0
68,1,2,1,0,0,28,2,2,15
69,1,19,21,0,2,1,2,1,5
0,0,0,4,0,0,0,0,75,0
0,0,1,4,2,3,0,10,37,20
15,13,4,0,1,29,7,1,6,3
80,0,3,7,5,3,7,11,3,1
33,1,2,0,1,1,0,0,1,1
9,11,4,0,17,6,27,3,3,0
1,0,4,0,1,0,72,1,1,0
0,8,47,3,5,1,0,0,0,16
2,32,1,1,1,1,0,1,0,1
27,1,0,0,0,1,1,0,50,0
4,2,0,0,18,1,0,12,0,1
6,5,4,35,8,7,40,3,2,11
0,7,2,10,1,2,7,0,6,3
0,0,0,0,0,0,37,1,0,1
1,0,4,0,45,20,0,0,0,9
5,36,29,1,6,13,18,8,2,2
12,30,12,2,1,27,4,20,6,6
0,2,0,0,0,36,1,0,1,0
